ticker,date,time,headline,neg,neu,pos,compound
FCEL,2020-09-10,09:49AM,Return On Capital Employed Overview: FuelCell Energy,0.0,0.741,0.259,0.2732
FCEL,2020-09-10,09:15AM,"FuelCell Energy (FCEL) Reports Q3 Loss, Tops Revenue Estimates",0.168,0.438,0.394,0.4767
FCEL,2020-09-10,08:06AM,FuelCell Energy: Q3 Earnings Insights,0.0,0.656,0.344,0.2732
FCEL,2020-09-10,07:57AM,"FuelCell's stock sinks after wider-than-expected loss, while revenue beat",0.15,0.458,0.392,0.6908
FCEL,2020-09-10,07:43AM,FuelCell Energy Reports Results for the Third Quarter of Fiscal 2020,0.0,0.826,0.174,0.2732
FCEL,2020-09-09,10:19AM,Preview: FuelCell Energy's Earnings,0.0,1.0,0.0,0.0
FCEL,2020-09-04,08:30AM,"FuelCell Energy Announces Third Quarter Results Conference Call  on September 10, 2020 at 10 A.M. Eastern Time",0.0,0.884,0.116,0.2732
FCEL,2020-09-03,02:57PM,Why Hydrogen Fuel Cell Stocks Are Sinking Again,0.0,1.0,0.0,0.0
FCEL,2020-09-03,01:02PM,Bloom Energy Joins SK E&C to Help Build 28MW Clean Facility,0.0,0.516,0.484,0.7579
FCEL,2020-09-02,03:22PM,Why Hydrogen Fuel Cell Stocks Crashed Wednesday,0.0,1.0,0.0,0.0
FCEL,2020-09-01,06:15AM,2 Reasons I Just Bought Bloom Energy Stock,0.0,0.704,0.296,0.2732
FCEL,2020-08-28,12:42PM,FuelCell Stock is Looking Frothy at These Levels,0.0,1.0,0.0,0.0
FCEL,2020-08-26,08:27AM,5 Value Stocks To Watch In The Industrials Sector,0.0,0.745,0.255,0.34
FCEL,2020-08-03,03:47PM,Why Hydrogen Fuel Cell Stocks Popped Today,0.0,1.0,0.0,0.0
FCEL,2020-07-30,05:50PM,FuelCell Energy (FCEL) Dips More Than Broader Markets: What You Should Know,0.0,0.84,0.16,0.2732
FCEL,2020-07-27,01:28AM,Return On Capital Employed Overview: FuelCell Energy,0.0,0.741,0.259,0.2732
FCEL,2020-07-16,11:34AM,Bloom Energy (BE) to Foray Into Commercial Hydrogen Market,0.0,0.792,0.208,0.2732
FCEL,2020-07-10,02:33PM,"Why Plug Power, Bloom Energy, and FuelCell Energy Stocks Are All Moving Higher (Again)",0.0,0.519,0.481,0.8807
FCEL,2020-07-06,01:46PM,Why Alternative Energy Stocks Jumped on Monday,0.0,0.382,0.618,0.8442
FCEL,2020-07-03,09:18AM,Ballard Power Seals $7.7M MEA Deal With Synergy-Ballard JVCo,0.0,1.0,0.0,0.0
FCEL,2020-06-30,10:41AM,Bloom Energy & Samsung to Jointly Develop Clean Power Ships,0.0,0.593,0.407,0.5859
FCEL,2020-06-29,03:00AM,Edited Transcript of FCEL earnings conference call or presentation 12-Jun-20 2:00pm GMT,0.0,1.0,0.0,0.0
FCEL,2020-06-26,08:00AM,FuelCell Energy Set to Join Russell 3000® Index,0.0,0.583,0.417,0.5106
FCEL,2020-06-24,11:23AM,FuelCell Energy: Rising From the Brink of Bankruptcy,0.0,0.769,0.231,0.2732
FCEL,2020-06-22,08:45AM,FuelCell Energy Resumes Manufacturing at Torrington Facility,0.0,0.741,0.259,0.2732
FCEL,2020-06-16,10:56AM,"Cramer Gives His Opinion On American Tower, Virgin Galactic And More",0.0,1.0,0.0,0.0
FCEL,2020-06-16,09:49AM,"FuelCell Energy Reports Strong Q2 Revenue Growth, Targets Profitability in 2022",0.0,0.409,0.591,0.8442
FCEL,2020-06-15,10:09AM,"FuelCell (FCEL) Q2 Loss Wider Than Expected, Revenues Beat",0.15,0.458,0.392,0.6908
FCEL,2020-06-15,09:08AM,FuelCell Energy (FCEL) Catches Eye: Stock Jumps 7.1%,0.0,0.769,0.231,0.2732
FCEL,2020-06-13,12:31AM,FuelCell Energy (FCEL) Q1 2020 Earnings Call Transcript,0.0,0.769,0.231,0.2732
FCEL,2020-06-12,06:37PM,"FuelCell Energy, Inc. (FCEL): Hedge Funds Going Back and Forth",0.0,0.811,0.189,0.2732
WWR,2020-11-24,01:15PM,Shark Bites: An Attractive Chart Ready for Thanksgiving Speculation,0.0,0.565,0.435,0.6597
